image_index,contrast_0
469,4320.453020134228
470,3616.379194630873
471,0.0
472,2088.946308724832
473,1966.751677852349
474,8248.137583892618
475,8283.05033557047
476,8559.442953020134
477,2077.308724832215
478,1233.5838926174497
479,2016.211409395973
480,1774.731543624161
481,1774.731543624161
482,1774.731543624161
483,0.0
484,3264.3422818791946
485,3124.691275167785
486,1175.3959731543623
487,2251.8724832214766
488,2403.161073825503
489,21759.37248322148
490,20924.37583892617
491,21759.37248322148
492,4518.291946308725
493,4142.979865771811
494,4142.979865771811
495,0.0
496,2278.057046979866
497,0.0
498,4655.03355704698
499,4326.271812080537
500,3790.942953020134
501,0.0
502,3462.181208053691
503,3319.620805369128
504,3435.996644295302
505,3174.151006711409
506,3174.151006711409
507,2438.073825503356
508,3200.3355704697988
509,3171.241610738255
510,4233.1711409395975
511,4646.305369127517
512,4960.520134228187
513,4460.104026845637
514,4724.859060402685
515,3616.379194630873
516,7119.2919463087255
517,6668.335570469799
518,7177.479865771811
519,1617.6241610738257
520,2481.7147651006712
521,1658.3557046979863
522,3049.046979865772
523,2502.0805369127515
524,2339.1543624161072
525,2094.765100671141
526,0.0
527,3051.9563758389263
528,2470.077181208054
529,2551.540268456376
530,1739.8187919463087
531,3633.835570469799
532,3633.835570469799
533,3668.748322147651
534,6144.644295302013
535,0.0
536,6138.825503355705
537,10747.308724832215
538,10401.090604026846
539,10793.859060402683
540,3267.251677852349
541,3604.741610738255
542,3674.56711409396
543,3651.2919463087246
544,2577.724832214765
545,3319.620805369127
546,5085.624161073825
547,4588.117449664429
548,5292.191275167785
549,0.0
550,3014.13422818792
551,3025.771812080537
552,1832.919463087248
553,1908.5637583892617
554,2859.936241610738
555,3331.258389261745
556,2606.818791946309
557,0.0
558,2862.8456375838923
559,0.0
560,2170.4093959731545
561,2525.3557046979868
562,1588.5302013422818
563,1588.5302013422818
564,3622.197986577181
565,3700.751677852349
566,3639.6543624161072
567,0.0
568,2941.3993288590605
569,1960.93288590604
570,8262.68456375839
571,7939.741610738255
572,7602.251677852349
573,715.7114093959731
574,1536.1610738255033
575,0.0
576,3572.738255033557
577,3313.8020134228186
578,2906.4865771812083
579,0.0
580,3572.738255033557
581,4009.147651006712
582,4285.540268456376
583,4142.979865771813
584,0.0
585,1603.0771812080538
586,2347.8825503355706
587,0.0
588,1480.8825503355706
589,2278.057046979866
590,1480.8825503355706
591,692.4362416107383
592,1667.0838926174497
593,680.7986577181208
594,3037.4093959731545
595,2470.077181208054
596,3115.963087248322
597,1955.1140939597317
598,0.0
599,1827.1006711409395
600,4227.352348993289
601,2871.573825503356
602,4227.352348993289
603,2987.9496644295305
604,3462.181208053691
605,3808.399328859061
606,2673.734899328859
607,2673.734899328859
608,3514.55033557047
609,2359.520134228188
610,2359.520134228188
611,0.0
612,3802.580536912752
613,3846.221476510067
614,4017.875838926175
615,8338.328859060402
616,8859.110738255033
617,7506.241610738255
618,6130.097315436242
619,0.0
620,5751.875838926175
621,0.0
622,2868.664429530201
623,2339.1543624161072
624,8600.174496644295
625,0.0
626,8364.513422818793
627,8678.728187919463
628,8670.0
629,8748.553691275167
630,2502.0805369127515
631,3764.758389261745
632,3779.305369127516
633,2973.402684563758
634,3619.288590604027
635,2740.651006711409
636,7296.765100671141
637,7296.765100671141
638,7360.771812080537
639,1768.9127516778524
640,1768.9127516778524
641,2083.1275167785234
642,2583.5436241610737
643,2691.191275167785
644,2502.0805369127515
645,5385.2919463087255
646,0.0
647,5152.540268456376
648,1960.93288590604
649,0.0
650,1059.0201342281878
651,5743.147651006711
652,5783.879194630872
653,5588.9496644295305
654,3278.8892617449665
655,3095.597315436242
656,2618.456375838926
657,8216.134228187919
658,8422.701342281878
659,8187.040268456376
660,8475.070469798658
661,7648.802013422819
662,7546.973154362417
663,7520.788590604026
664,8568.171140939598
665,7730.26510067114
666,4384.459731543624
667,3374.8993288590605
668,3369.080536912752
669,0.0
670,1192.8523489932886
671,1192.8523489932886
672,2635.9127516778526
673,3063.593959731544
674,1882.3791946308725
675,0.0
676,4259.355704697987
677,4681.21812080537
678,2013.3020134228188
679,2013.3020134228188
680,2566.087248322148
681,8195.76845637584
682,7256.03355704698
683,0.0
684,3069.412751677852
685,3069.412751677852
686,3322.530201342282
687,1175.3959731543623
688,1207.3993288590605
689,1236.4932885906042
690,4745.224832214764
691,5132.174496644296
692,0.0
693,1315.0469798657718
694,1303.4093959731545
695,1315.0469798657718
696,2784.2919463087246
697,0.0
698,1946.3859060402683
699,1943.476510067114
700,2601.0
701,0.0
702,1629.261744966443
703,1245.221476510067
704,1745.6375838926174
705,2214.050335570469
706,2176.2281879194634
707,2196.593959731544
708,2705.738255033557
709,2618.456375838926
710,0.0
711,0.0
712,727.3489932885907
713,0.0
714,1530.3422818791946
715,1530.3422818791946
716,2315.8791946308725
717,576.0604026845637
718,267.66442953020135
719,1012.469798657718
720,4078.973154362416
721,4375.731543624161
722,5187.453020134229
723,7715.71812080537
724,7776.815436241611
725,8687.456375838925
726,3357.442953020134
727,2618.456375838926
728,2641.731543624161
729,8879.476510067114
730,9420.624161073823
731,8931.845637583892
732,1303.4093959731545
733,2024.939597315436
734,2086.036912751678
735,6525.775167785235
736,6933.0906040268455
737,7020.372483221477
738,3875.3154362416103
739,0.0
740,3171.241610738255
741,4902.3322147651015
742,5388.201342281879
743,5402.7483221476505
744,0.0
745,3130.510067114094
746,3107.234899328859
747,2499.171140939597
748,2516.6275167785234
749,1611.8053691275168
750,2187.8657718120803
751,2051.124161073825
752,0.0
753,3628.01677852349
754,3837.493288590604
755,3025.771812080537
756,2702.8288590604025
757,0.0
758,0.0
759,3043.228187919463
760,0.0
761,0.0
762,4282.6308724832215
763,5088.53355704698
764,4282.6308724832215
765,4102.248322147651
766,3636.744966442953
767,4605.573825503356
768,2327.51677852349
769,2397.3422818791946
770,3075.2315436241606
771,2414.798657718121
772,2257.691275167785
773,0.0
774,1821.2818791946308
775,0.0
776,1699.0872483221478
777,3238.1577181208054
778,3182.8791946308725
779,2368.248322147651
780,1731.0906040268455
781,1742.728187919463
782,1742.728187919463
783,2921.03355704698
784,3625.107382550336
785,3281.798657718121
786,2074.3993288590605
787,1946.3859060402683
788,2123.859060402684
789,4820.8691275167785
790,0.0
791,5053.620805369128
792,1987.1174496644292
793,1987.1174496644292
794,1987.1174496644292
795,9685.379194630872
796,9711.56375838926
797,9711.56375838926
798,1728.1812080536913
799,1480.8825503355706
800,995.013422818792
801,3089.778523489933
802,0.0
803,3089.778523489933
804,8521.620805369126
805,8867.838926174496
806,9403.167785234898
807,3523.278523489933
808,2769.744966442953
